                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1772,                  3.965,                 3.5276,                0.18915,                0.07925,                0.06076,                0.02259,                 2.5436,                 3.1588,                 2.8527,              0.0033326,              0.0033326,              0.0033326
                      2,                 2.2683,                 3.0272,                 2.4654,                0.26721,                0.20595,                0.16469,                0.07466,                 1.9768,                 2.6229,                 2.2689,               0.006534,               0.006534,               0.006534
                      3,                 1.9988,                 2.7099,                 2.1757,                0.38708,                0.28366,                0.24331,                0.11794,                 1.7494,                 2.3346,                 2.0086,              0.0096033,              0.0096033,              0.0096033
                      4,                 1.8535,                 2.5086,                 2.0316,                 0.4432,                0.31495,                0.31882,                0.16776,                 1.6253,                 2.1447,                 1.8935,               0.009406,               0.009406,               0.009406
                      5,                 1.7331,                 2.3212,                 1.9158,                0.44213,                0.35674,                0.33896,                0.18229,                 1.5569,                 2.0393,                 1.8209,               0.009208,               0.009208,               0.009208
                      6,                 1.6602,                 2.1913,                 1.8517,                 0.4802,                0.36266,                0.37047,                0.20504,                 1.5067,                 1.9422,                 1.7774,                0.00901,                0.00901,                0.00901
                      7,                 1.6077,                 2.0962,                 1.7994,                0.46556,                0.39343,                0.38341,                0.22035,                 1.4709,                  1.899,                 1.7385,               0.008812,               0.008812,               0.008812
                      8,                 1.5619,                 2.0128,                 1.7523,                 0.5208,                0.38548,                 0.4048,                0.23143,                   1.45,                 1.8691,                 1.7152,               0.008614,               0.008614,               0.008614
                      9,                 1.5274,                 1.9499,                 1.7181,                0.48872,                0.42344,                0.41518,                0.23736,                  1.427,                 1.8394,                 1.6914,               0.008416,               0.008416,               0.008416
                     10,                 1.4993,                 1.8969,                 1.6932,                0.51354,                0.41062,                0.42237,                0.24389,                 1.4109,                 1.8219,                 1.6734,               0.008218,               0.008218,               0.008218
                     11,                 1.4722,                 1.8471,                 1.6661,                0.50127,                0.43396,                0.42964,                0.24957,                 1.3971,                 1.8025,                 1.6572,                0.00802,                0.00802,                0.00802
                     12,                 1.4469,                 1.8008,                 1.6368,                0.52107,                 0.4296,                0.43632,                0.25506,                 1.3885,                 1.7869,                 1.6415,               0.007822,               0.007822,               0.007822
                     13,                 1.4273,                 1.7629,                 1.6148,                0.52254,                0.42908,                0.43981,                0.25874,                 1.3831,                 1.7744,                 1.6319,               0.007624,               0.007624,               0.007624
                     14,                 1.4111,                 1.7283,                 1.5976,                0.53485,                0.42549,                0.44224,                0.26093,                 1.3823,                 1.7677,                 1.6278,               0.007426,               0.007426,               0.007426
                     15,                 1.3974,                 1.6942,                 1.5817,                0.54059,                0.42755,                0.44489,                0.26324,                 1.3779,                 1.7633,                 1.6214,               0.007228,               0.007228,               0.007228
                     16,                 1.3783,                 1.6605,                 1.5608,                0.54581,                0.42652,                0.44678,                0.26444,                 1.3757,                 1.7605,                 1.6163,                0.00703,                0.00703,                0.00703
                     17,                  1.364,                 1.6269,                  1.543,                0.53551,                 0.4378,                0.44809,                0.26625,                 1.3737,                 1.7544,                 1.6116,               0.006832,               0.006832,               0.006832
                     18,                 1.3508,                 1.5947,                 1.5313,                0.53825,                0.44088,                0.45196,                0.26772,                 1.3709,                 1.7486,                 1.6059,               0.006634,               0.006634,               0.006634
                     19,                  1.336,                 1.5745,                 1.5158,                0.53844,                0.44447,                0.45353,                0.26912,                 1.3685,                 1.7429,                  1.601,               0.006436,               0.006436,               0.006436
                     20,                 1.3204,                  1.542,                 1.4969,                0.54385,                0.44601,                0.45539,                0.27023,                 1.3674,                  1.739,                 1.5964,               0.006238,               0.006238,               0.006238
