                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0459,                 4.1573,                  3.578,                0.17667,                 0.0885,                0.05479,                  0.021,                 2.3712,                 3.3495,                 2.8482,              0.0033326,              0.0033326,              0.0033326
                      2,                 2.1673,                 3.0969,                 2.5236,                 0.2609,                0.18569,                0.16247,                0.07394,                 1.8636,                 2.6748,                 2.2598,               0.006622,               0.006622,               0.006622
                      3,                 1.9131,                  2.777,                 2.2443,                 0.3742,                0.29238,                0.25891,                0.13099,                 1.6728,                 2.3736,                 2.0685,              0.0098673,              0.0098673,              0.0098673
                      4,                 1.7816,                 2.5788,                 2.1075,                0.43258,                0.32726,                0.31835,                0.17554,                 1.5477,                 2.1913,                 1.9423,               0.009802,               0.009802,               0.009802
                      5,                 1.6664,                 2.3817,                 1.9936,                0.46298,                0.37753,                0.36347,                 0.2087,                  1.464,                 2.0373,                   1.84,               0.009736,               0.009736,               0.009736
                      6,                 1.5953,                  2.245,                 1.9222,                0.48621,                0.38574,                0.38615,                0.22831,                 1.4203,                 1.9807,                 1.8047,                0.00967,                0.00967,                0.00967
                      7,                  1.546,                 2.1475,                 1.8685,                0.50093,                0.40241,                0.41328,                0.25027,                  1.378,                 1.8955,                 1.7544,               0.009604,               0.009604,               0.009604
                      8,                 1.5037,                 2.0641,                 1.8207,                0.50148,                0.42011,                0.42287,                0.25629,                 1.3578,                 1.8872,                 1.7339,               0.009538,               0.009538,               0.009538
                      9,                 1.4681,                 1.9909,                 1.7829,                0.54503,                 0.4031,                0.43552,                0.26629,                  1.352,                 1.8449,                 1.7198,               0.009472,               0.009472,               0.009472
                     10,                 1.4465,                 1.9365,                 1.7524,                0.54749,                0.42047,                0.44373,                0.27183,                 1.3396,                 1.8264,                 1.7009,               0.009406,               0.009406,               0.009406
                     11,                 1.4226,                 1.8859,                 1.7264,                0.54641,                0.43139,                0.44852,                0.27936,                 1.3215,                 1.7999,                 1.6852,                0.00934,                0.00934,                0.00934
                     12,                  1.398,                 1.8427,                 1.7004,                0.54533,                0.43832,                0.45378,                0.28359,                 1.3138,                  1.785,                 1.6745,               0.009274,               0.009274,               0.009274
                     13,                 1.3814,                 1.8027,                 1.6762,                 0.5374,                0.44473,                0.45697,                0.28571,                 1.3048,                 1.7772,                 1.6625,               0.009208,               0.009208,               0.009208
                     14,                 1.3648,                 1.7725,                 1.6598,                0.53983,                0.45088,                0.45921,                0.28796,                  1.303,                  1.768,                 1.6586,               0.009142,               0.009142,               0.009142
                     15,                 1.3546,                 1.7402,                 1.6437,                0.55128,                0.44678,                 0.4619,                0.28963,                 1.3009,                   1.76,                 1.6532,               0.009076,               0.009076,               0.009076
                     16,                   1.34,                 1.7073,                 1.6249,                0.55248,                0.44935,                0.46298,                0.29055,                 1.2975,                 1.7551,                 1.6475,                0.00901,                0.00901,                0.00901
                     17,                 1.3285,                 1.6841,                 1.6088,                0.55436,                0.44755,                0.46236,                0.29079,                 1.2956,                  1.751,                 1.6428,               0.008944,               0.008944,               0.008944
                     18,                 1.3157,                 1.6518,                 1.5973,                0.55404,                0.44729,                0.46248,                0.29087,                  1.293,                 1.7453,                 1.6375,               0.008878,               0.008878,               0.008878
                     19,                 1.3092,                  1.634,                 1.5883,                0.55637,                0.45037,                0.46616,                0.29286,                 1.2902,                 1.7375,                 1.6318,               0.008812,               0.008812,               0.008812
                     20,                 1.2947,                 1.6094,                 1.5702,                0.56446,                0.44806,                0.46716,                0.29382,                 1.2861,                 1.7343,                 1.6257,               0.008746,               0.008746,               0.008746
                     21,                 1.2864,                 1.5966,                 1.5614,                0.55246,                0.45499,                0.46751,                0.29549,                 1.2833,                 1.7294,                 1.6194,                0.00868,                0.00868,                0.00868
